update_index,anchor_update_index,od_along,od_lat,od_dyaw,gt_along,gt_lat,gt_dyaw,residual_along,residual_lat,residual_yaw,gt_anchor_gap,gt_cur_gap
240,1,0.00625715200629758,-0.00062975793742848,-0.2811369,0.006338795264874906,-0.013243744873224095,-0.274369588,-8.164325857732638e-05,0.012613986935795615,-0.006767312000000025,0.01999999999999602,0.01999999999999602
243,240,0.0014452969745228292,-0.0003573119388939541,-0.299546344,0.004498481578476884,-0.012503340194338823,-0.244497356,-0.0030531846039540548,0.012146028255444868,-0.055048988000000014,0.01999999999999602,0.01999999999999602
246,243,0.0400922031830441,-0.007544272420234706,-0.264788821,0.03709210260836081,-0.011053143305918126,-0.198359913,0.0030001005746832926,0.0035088708856834197,-0.06642890800000001,0.01999999999999602,0.01999999999999602
249,246,0.08751316256957958,-0.013095705215015505,-0.293356777,0.08711357077635229,-0.009801373909674095,-0.21597117700000001,0.0003995917932272941,-0.0032943313053414094,-0.0773856,0.01999999999999602,0.01999999999999602
252,249,0.0801994385096636,-0.010414540651967164,-0.26781972900000006,0.0810905899795094,-0.006568447759488859,-0.1976278440000001,-0.000891151469845794,-0.0038460928924783054,-0.07019188499999997,0.01999999999999602,0.020000000000010232
256,252,0.06882939965615172,-0.007292116624637637,-0.200786598,0.06831037581149128,-0.008537821018972668,-0.17165807899999996,0.0005190238446604323,0.001245704394335031,-0.02912851900000005,0.020000000000010232,0.01999999999999602
261,256,0.10946426421300072,-0.01457838332537027,-0.24669239499999998,0.1049796260437088,-0.03143451260427387,-0.24109545999999993,0.004484638169291913,0.016856129278903603,-0.005596935000000053,0.01999999999999602,0.01999999999999602
266,261,0.14687244646893807,-0.016508004347591324,-0.206584945,0.14611925811304732,-0.033945472706883285,-0.20840734799999994,0.0007531883558907493,0.017437468359291962,0.0018224029999999447,0.01999999999999602,0.01999999999999602
276,266,0.2953807557323054,-0.0037978193284890632,0.056887728,0.2947547347764017,0.0003378455893037341,0.0546069629999999,0.0006260209559036944,-0.004135664917792797,0.002280765000000101,0.01999999999999602,0.01999999999999602
286,276,0.2927166155972103,0.017746126266798112,0.110616908,0.29077196563432006,0.026954438611022848,0.11118943600000011,0.0019446499628902325,-0.009208312344224735,-0.0005725280000001137,0.01999999999999602,0.01999999999999602
295,286,0.26614850635887227,-0.0009606812875475601,-0.019138236999999995,0.2671381559435007,-0.002206442264204943,-0.01929361500000004,-0.000989649584628438,0.0012457609766573828,0.00015537800000004626,0.01999999999999602,0.01999999999999602
305,295,0.29323799410227047,-0.0064165355766542115,-0.05351227399999999,0.2932927882048255,-0.010298254394621828,-0.05340084099999998,-5.479410255504469e-05,0.0038817188179676165,-0.00011143300000001494,0.01999999999999602,0.01999999999999602
317,305,0.29405723129123995,-0.022090216186475678,-0.165484568,0.294519662842104,-0.03292235373128474,-0.1562289990000001,-0.00046243155086406196,0.010832137544809065,-0.009255568999999908,0.01999999999999602,0.020000000000010232
351,317,0.1951556832367172,-0.010555013475820343,0.259068029,0.19345346756851806,0.001064604642679233,0.2539907130000001,0.0017022156681991418,-0.011619618118499576,0.005077315999999887,0.020000000000010232,0.01999999999999602
354,351,0.0,0.0,0.304615385,0.00021687457134181675,0.022420278095092797,0.29060372600000006,-0.00021687457134181675,-0.022420278095092797,0.014011658999999954,0.01999999999999602,0.01999999999999602
357,354,0.0,0.0,0.259731282,0.003288233116349958,0.01063432054454288,0.2204531879999998,-0.003288233116349958,-0.01063432054454288,0.03927809400000021,0.01999999999999602,0.020000000000010232
360,357,-0.00035048522655600875,-5.1173899304071064e-05,0.202089256,0.0006076754799485307,0.002212049719831682,0.14863207000000012,-0.0009581607065045394,-0.002263223619135753,0.05345718599999987,0.020000000000010232,0.01999999999999602
364,360,-4.779847609490762e-06,-1.8783770799410986e-08,0.208479052,-0.0007748195908913781,0.0003466635503266277,0.15638112800000004,0.0007700397432818874,-0.0003466823340974271,0.05209792399999996,0.01999999999999602,0.01999999999999602
370,364,0.000453159372566606,7.789788217300877e-05,0.219866783,4.393909733470749e-06,0.00019853850681223227,0.156917619,0.00044876546283313527,-0.0001206406246392235,0.062949164,0.01999999999999602,0.01999999999999602
392,370,0.04914133958907339,-0.004579329456338883,-0.209572641,0.04265690256773917,-0.0066523536976831645,-0.13511438800000009,0.006484437021334222,0.002073024241344281,-0.07445825299999992,0.01999999999999602,0.020000000000010232
395,392,0.08485812012744881,-0.012762299147030635,-0.293904539,0.08511269927832343,-0.008970660449374612,-0.21734544,-0.00025457915087462313,-0.003791638697656023,-0.076559099,0.020000000000010232,0.01999999999999602
398,395,0.08523881533010852,-0.012151485367051535,-0.280342343,0.08265207260336299,-0.009805407291472862,-0.20642141299999994,0.002586742726745528,-0.0023460780755786732,-0.07392093000000005,0.01999999999999602,0.01999999999999602
401,398,0.08723707046411058,-0.011166254982162324,-0.245163878,0.0827538780083745,-0.017869571171000468,-0.21254487399999997,0.004483192455736085,0.006703316188838144,-0.032619004000000035,0.01999999999999602,0.01999999999999602
405,401,0.11564712142466903,-0.014141133018235247,-0.22070809700000002,0.1131298124227053,-0.026831125636619265,-0.22257927600000005,0.00251730900196373,0.012689992618384018,0.0018711790000000286,0.01999999999999602,0.01999999999999602
