t_s,stamp,gt_x,gt_y,gt_yaw,goal_map_x,goal_map_y,n_valid,n_in_stop,n_in_slow,n_in_limit,d_min_base_m,r_min_lidar_m,monitor_action,monitor_polygon,v_nav,w_nav,v_smoothed,v_out,v_wheel
0.011,93.1,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.118,93.2,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.22,93.3,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.328,93.4,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.422,93.5,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.527,93.6,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.627,93.7,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.727,93.8,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.83,93.9,-2.0,0.0,-0.0,-0.019,-2.21,480,0,0,0,0.8217,0.9543,,,,,,,
0.926,94.0,-1.9994,-0.0002,-0.0039,-0.019,-2.21,480,0,0,0,0.8209,0.9534,,,0.0158,-1.0,0.0158,0.0158,0.0158
1.03,94.1,-1.9978,-0.0016,-0.0356,-0.019,-2.21,480,0,0,0,0.8175,0.9493,,,0.0158,-1.0,0.0158,0.0158,0.0158
1.126,94.2,-1.9962,-0.0046,-0.099,-0.019,-2.21,480,0,0,0,0.8179,0.948,,,0.0158,-1.0,0.0158,0.0158,0.0158
1.227,94.3,-1.9947,-0.0091,-0.1885,-0.019,-2.21,480,0,0,0,0.815,0.9417,,,0.0158,-1.0,0.0158,0.0158,0.0158
1.327,94.4,-1.9936,-0.0149,-0.2804,-0.019,-2.21,480,0,0,0,0.8088,0.9307,,,0.0,-1.0,0.0,0.0,0.0
