t_rel,x,y,yaw,v_act,w_act,v_nav,w_nav,v_smoothed,v_cmdvel,v_wheel,cm_action,cm_polygon,scan_min,dwb_n,dwb_illegal,dwb_best_vx,dwb_best_total
0.0,,,,,,,,,,,,,,,,,
0.1,-2.6106,-0.0499,-0.484,0.0,0.0,,,,,,,,,819,0,0.0,50.8
0.2,-2.6106,-0.0499,-0.484,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1.42,819,0,0.0,50.8
0.3,-2.6106,-0.0499,-0.484,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1.419,819,0,0.0,50.8
0.4,-2.6106,-0.0499,-0.4838,-0.0001,0.0089,0.0,0.9487,0.0,0.0,0.0,,,1.427,819,0,0.0,50.8
0.5,-2.6106,-0.0499,-0.4825,0.0001,0.0673,0.0,0.8462,0.0,0.0,0.0,,,1.433,819,0,0.0,50.8
0.6,-2.6105,-0.0498,-0.4766,0.0003,0.1724,0.0,0.7949,0.0,0.0,0.0,,,1.441,819,0,0.0,50.8
0.7,-2.6103,-0.0491,-0.4466,-0.0021,0.3885,0.0,1.0,0.0,0.0,0.0,,,1.446,819,0,0.0,50.2
0.8,-2.6101,-0.0477,-0.3936,-0.0039,0.6302,0.2211,1.0,0.0,0.0,0.0,,,1.454,819,0,0.2211,49.8
0.9,-2.5952,-0.0197,0.0584,0.2088,0.7868,0.2211,1.0,0.2842,0.2842,0.2842,,,1.462,819,0,0.2211,49.8
1.0,-2.5905,-0.0181,0.0733,0.2373,0.7453,0.3,1.0,0.2842,0.2842,0.2842,,,1.462,819,0,0.3,49.0
1.1,-2.5856,-0.0164,0.0887,0.2528,0.7692,0.2684,1.0,0.3,0.3,0.3,,,1.451,819,0,0.2684,48.0
1.2,-2.5805,-0.0145,0.105,0.2628,0.816,0.3,1.0,0.3,0.3,0.3,,,1.433,819,0,0.3,43.8
1.3,-2.5642,-0.0081,0.1565,0.2948,0.8718,0.2526,1.0,0.2684,0.2684,0.2684,,,1.414,819,0,0.2526,45.8
1.4,-2.5584,-0.0057,0.1744,0.3011,0.8949,0.2842,1.0,0.3,0.3,0.3,,,1.398,819,0,0.2842,43.2
1.5,-2.5527,-0.0032,0.1926,0.3066,0.9123,0.3,1.0,0.3,0.3,0.3,,,1.381,819,0,0.3,42.4
1.6,-2.4943,0.0267,0.38,0.2957,0.7782,0.3,1.0,0.3,0.3,0.3,,,1.367,819,0,0.2842,44.8
1.7,-2.4894,0.0295,0.3966,0.2783,0.8313,0.2842,0.9487,0.2842,0.2842,0.2842,,,1.356,819,0,0.3,42.0
1.8,-2.4803,0.0352,0.4295,0.2658,0.8115,0.3,1.0,0.2842,0.2842,0.2842,,,1.339,819,0,0.2684,43.4
1.9,-2.4322,0.0674,0.569,0.2705,0.6168,0.3,1.0,0.2684,0.2684,0.2684,,,1.326,819,0,0.3,41.4
2.0,-2.4278,0.0706,0.5815,0.2713,0.6211,0.3,0.9487,0.3,0.3,0.3,,,1.31,819,0,0.3,43.2
2.1,-2.4102,0.0835,0.6309,0.2758,0.6311,0.3,1.0,0.3,0.3,0.3,,,1.303,819,0,0.3,40.6
2.2,-2.3793,0.1092,0.7293,0.2755,0.7406,0.3,1.0,0.3,0.3,0.3,,,1.289,819,0,0.3,30.2
