t_s,stamp,gt_x,gt_y,gt_yaw,goal_map_x,goal_map_y,n_valid,n_in_stop,n_in_slow,n_in_limit,d_min_base_m,r_min_lidar_m,monitor_action,monitor_polygon,v_nav,w_nav,v_smoothed,v_out,v_wheel
0.003,94.2,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.104,94.3,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.21,94.4,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.304,94.5,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.41,94.6,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.512,94.7,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.61,94.8,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.712,94.9,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.81,95.0,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.912,95.1,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.013,95.2,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.119,95.3,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.23,95.4,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.33,95.5,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.433,95.6,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.546,95.7,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.635,95.8,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.749,95.9,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.849,96.0,-2.0,0.0,-0.0,-0.019,-2.21,480,0,0,0,0.8217,0.9543,,,,,,,
1.944,96.1,-2.0,0.0,-0.0,-0.019,-2.21,480,0,0,0,0.8217,0.9543,,,0.0158,-1.0,0.0158,0.0158,0.0158
2.042,96.2,-1.9986,-0.0007,-0.0182,-0.019,-2.21,480,0,0,0,0.8219,0.9542,,,0.0158,-1.0,0.0158,0.0158,0.0158
2.153,96.3,-1.997,-0.0029,-0.0693,-0.019,-2.21,480,0,0,0,0.8193,0.9504,,,0.0158,-1.0,0.0158,0.0158,0.0158
2.256,96.4,-1.9955,-0.0067,-0.1484,-0.019,-2.21,480,0,0,0,0.816,0.9443,,,0.0158,-1.0,0.0158,0.0158,0.0158
2.358,96.5,-1.9939,-0.0119,-0.243,-0.019,-2.21,480,0,0,0,0.8084,0.9323,,,0.0,-1.0,0.0,0.0,0.0
2.463,96.6,-1.9938,-0.0177,-0.3321,-0.019,-2.21,480,0,0,0,0.8064,0.9249,,,0.0,-1.0,0.0,0.0,0.0
2.562,96.7,-1.9938,-0.0225,-0.417,-0.019,-2.21,480,0,0,0,0.8071,0.9205,,,0.0,-0.9487,0.0,0.0,0.0
2.662,96.8,-1.9933,-0.0261,-0.4938,-0.019,-2.21,480,0,0,0,0.8021,0.909,,,0.0158,-1.0,0.0158,0.0158,0.0158
2.775,96.9,-1.9906,-0.0305,-0.5602,-0.019,-2.21,480,0,0,0,0.7972,0.8985,,,0.2842,-1.0,0.2513,0.1263,0.1263
2.873,97.0,-1.9811,-0.0396,-0.6211,-0.019,-2.21,480,0,0,0,0.7834,0.8795,,,0.3,-1.0,0.3,0.2842,0.2842
2.99,97.1,-1.9613,-0.0572,-0.6868,-0.019,-2.21,480,0,0,0,0.7558,0.8463,,,0.2684,-1.0,0.2684,0.2684,0.2684
3.094,97.2,-1.9403,-0.0752,-0.7607,-0.019,-2.21,480,0,0,0,0.7292,0.8128,,,0.3,-1.0,0.3,0.3,0.3
3.187,97.3,-1.9198,-0.0962,-0.837,-0.019,-2.21,480,0,0,0,0.6995,0.7747,,,0.2842,-1.0,0.2842,0.2842,0.2842
3.287,97.4,-1.9014,-0.1184,-0.9091,-0.019,-2.21,480,0,0,0,0.6711,0.7375,,,0.3,-0.9487,0.3,0.3,0.3
3.384,97.5,-1.8839,-0.1416,-0.9734,-0.019,-2.21,480,0,0,0,0.6454,0.7031,,,0.2842,-0.9487,0.2842,0.2842,0.3
3.484,97.6,-1.8691,-0.1645,-1.038,-0.019,-2.21,480,0,0,0,0.6211,0.6699,,,0.3,-1.0,0.3,0.3,0.3
3.589,97.7,-1.8565,-0.1888,-1.1077,-0.019,-2.21,480,0,0,18,0.5963,0.6339,LIMIT,PolygonLimit,0.3,-0.8974,0.3,0.15,0.15
3.685,97.8,-1.8471,-0.2051,-1.1615,-0.019,-2.21,480,0,0,33,0.5816,0.6106,LIMIT,PolygonLimit,0.3,-0.8974,0.3,0.1671,0.1671
3.784,97.9,-1.8401,-0.2205,-1.2038,-0.019,-2.21,480,0,0,37,0.5671,0.5897,LIMIT,PolygonLimit,0.2842,-0.8462,0.2842,0.1679,0.1671
3.888,98.0,-1.8347,-0.2363,-1.2471,-0.019,-2.21,480,0,0,39,0.5525,0.5662,LIMIT,PolygonLimit,0.3,-0.7436,0.3,0.2017,0.2017
3.984,98.1,-1.831,-0.254,-1.287,-0.019,-2.21,480,0,6,42,0.5423,0.5484,SLOWDOWN,PolygonSlow,0.2842,-0.6923,0.2842,0.0853,0.09
4.097,98.2,-1.8283,-0.2633,-1.3056,-0.019,-2.21,480,0,7,44,0.5354,0.5377,SLOWDOWN,PolygonSlow,0.3,-0.8462,0.3,0.09,0.09
4.202,98.3,-1.8272,-0.2719,-1.3283,-0.019,-2.21,480,0,5,45,0.5291,0.5263,SLOWDOWN,PolygonSlow,0.3,-0.7949,0.3,0.09,0.09
4.321,98.4,-1.8265,-0.2828,-1.3531,-0.019,-2.21,480,0,0,47,0.5251,0.5174,LIMIT,PolygonLimit,0.3,-0.7436,0.3,0.1887,0.1887
4.429,98.5,-1.8263,-0.3018,-1.3991,-0.019,-2.21,480,0,0,49,0.5166,0.4979,LIMIT,PolygonLimit,0.2842,-0.7436,0.2842,0.1911,0.1911
4.532,98.6,-1.8272,-0.3211,-1.4474,-0.019,-2.21,480,0,0,54,0.51,0.4807,LIMIT,PolygonLimit,0.3,-0.5897,0.3,0.2543,0.2543
4.642,98.7,-1.8288,-0.3471,-1.4957,-0.019,-2.21,480,0,0,59,0.5034,0.4615,DO_NOTHING,,0.3,-0.4872,0.3,0.3,0.3
4.734,98.8,-1.8316,-0.3765,-1.5458,-0.019,-2.21,480,0,0,66,0.4982,0.4422,LIMIT,PolygonLimit,0.3,-0.5385,0.3,0.2786,0.2786
4.837,98.9,-1.836,-0.4053,-1.5975,-0.019,-2.21,480,0,0,75,0.4958,0.4258,DO_NOTHING,,0.3,-0.4872,0.3,0.3,0.3
4.951,99.0,-1.8427,-0.4413,-1.6513,-0.019,-2.21,480,0,0,82,0.4962,0.4126,DO_NOTHING,,0.3,-0.3846,0.3,0.3,0.3
5.039,99.1,-1.8472,-0.4651,-1.678,-0.019,-2.21,480,0,0,85,0.4983,0.4049,DO_NOTHING,,0.3,-0.2821,0.3,0.3,0.3
5.153,99.2,-1.8537,-0.5009,-1.7032,-0.019,-2.21,480,0,0,80,0.5029,0.4008,DO_NOTHING,,0.3,-0.1282,0.3,0.3,0.3
5.239,99.3,-1.8578,-0.5247,-1.7132,-0.019,-2.21,480,0,0,79,0.5075,0.3999,DO_NOTHING,,0.3,-0.1282,0.3,0.3,0.3
5.353,99.4,-1.8629,-0.5543,-1.7217,-0.019,-2.21,480,0,0,79,0.5127,0.4011,DO_NOTHING,,0.3,-0.0256,0.3,0.3,0.3
5.45,99.5,-1.8676,-0.584,-1.7245,-0.019,-2.21,480,0,0,80,0.5175,0.405,DO_NOTHING,,0.3,-0.1795,0.3,0.3,0.3
5.569,99.6,-1.8731,-0.6136,-1.7364,-0.019,-2.21,480,0,0,81,0.523,0.4097,DO_NOTHING,,0.3,0.0,0.3,0.3,0.3
5.666,99.7,-1.8783,-0.6432,-1.739,-0.019,-2.21,480,0,0,80,0.5282,0.4147,DO_NOTHING,,0.3,0.0,0.3,0.3,0.3
5.777,99.8,-1.8834,-0.6727,-1.739,-0.019,-2.21,480,0,0,82,0.5332,0.4197,DO_NOTHING,,0.2842,-0.0256,0.2842,0.3,0.3
5.872,99.9,-1.8883,-0.7012,-1.7406,-0.019,-2.21,480,0,0,81,0.5382,0.4246,DO_NOTHING,,0.2842,-0.0256,0.2842,0.2842,0.2842
5.974,100.0,-1.8934,-0.7294,-1.7428,-0.019,-2.21,480,0,0,82,0.5432,0.4294,DO_NOTHING,,0.2842,0.0,0.2842,0.3,0.3
6.073,100.1,-1.8983,-0.758,-1.7428,-0.019,-2.21,480,0,0,74,0.5481,0.4344,DO_NOTHING,,0.2842,0.1795,0.2842,0.2842,0.2842
6.176,100.2,-1.9029,-0.786,-1.7358,-0.019,-2.21,480,0,0,68,0.5527,0.4395,DO_NOTHING,,0.3,0.2308,0.3,0.3,0.3
6.275,100.3,-1.9059,-0.8154,-1.7147,-0.019,-2.21,480,0,0,63,0.5558,0.444,DO_NOTHING,,0.2842,0.1795,0.2842,0.3,0.3
6.373,100.4,-1.9082,-0.844,-1.6955,-0.019,-2.21,480,0,0,58,0.5579,0.4478,DO_NOTHING,,0.3,0.1795,0.3,0.2842,0.2842
6.474,100.5,-1.9101,-0.8733,-1.6778,-0.019,-2.21,480,0,0,52,0.5598,0.4511,DO_NOTHING,,0.2842,0.1795,0.2842,0.3,0.3
6.581,100.6,-1.9115,-0.9021,-1.66,-0.019,-2.21,480,0,0,44,0.5614,0.4539,DO_NOTHING,,0.2842,0.1795,0.2842,0.2842,0.2842
6.679,100.7,-1.9122,-0.9305,-1.6418,-0.019,-2.21,480,0,0,35,0.562,0.4561,DO_NOTHING,,0.3,0.1795,0.3,0.2842,0.2842
6.78,100.8,-1.9125,-0.9599,-1.6236,-0.019,-2.21,480,0,0,21,0.5622,0.4579,DO_NOTHING,,0.2842,0.1282,0.2842,0.3,0.3
6.881,100.9,-1.9125,-0.9888,-1.6087,-0.019,-2.21,480,0,0,3,0.5623,0.4591,DO_NOTHING,,0.3,0.1282,0.2842,0.2842,0.2842
6.975,101.0,-1.9122,-1.0176,-1.5954,-0.019,-2.21,480,0,0,0,0.5623,0.46,DO_NOTHING,,0.2842,0.1282,0.3,0.3,0.3
7.076,101.1,-1.9116,-1.0472,-1.5821,-0.019,-2.21,480,0,0,0,0.564,0.4606,DO_NOTHING,,0.3,0.0769,0.3,0.2842,0.2842
7.178,101.2,-1.9108,-1.0767,-1.5722,-0.019,-2.21,480,0,0,0,0.5666,0.4607,DO_NOTHING,,0.2842,0.0769,0.2842,0.3,0.3
7.281,101.3,-1.9101,-1.1056,-1.5642,-0.019,-2.21,480,0,0,0,0.5699,0.4609,DO_NOTHING,,0.3,0.1282,0.2842,0.2842,0.2842
7.376,101.4,-1.909,-1.1344,-1.5552,-0.019,-2.21,480,0,0,0,0.5761,0.463,DO_NOTHING,,0.2842,-0.0769,0.2842,0.3,0.3
7.477,101.5,-1.908,-1.1633,-1.5522,-0.019,-2.21,480,0,0,0,0.5817,0.4653,DO_NOTHING,,0.3,-0.0256,0.3,0.2842,0.2842
7.577,101.6,-1.908,-1.1928,-1.5566,-0.019,-2.21,480,0,0,0,0.5915,0.4712,DO_NOTHING,,0.2684,0.0,0.2684,0.3,0.3
