t,best_vx,best_wz,best_total,n_traj,n_legal,n_crit_best,zero_for,RotateToGoal_raw,RotateToGoal,Oscillation_raw,Oscillation,BaseObstacle_raw,BaseObstacle,GoalAlign_raw,GoalAlign,PathAlign_raw,PathAlign,PathDist_raw,PathDist,GoalDist_raw,GoalDist,gt_x,gt_y,gt_yaw,gt_vx,gt_wz,dist_goal
0.15,0.0,0.7949,53.0,819,819,7,0.11,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,1.0,0.8,40.0,24.0,-2.0,0.0,0.0012,-0.0001,0.0601,3.2871
0.35,0.0,0.7949,54.4,819,819,7,0.31,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0043,0.1069,0.0034,0.745,3.2832
0.448,0.0,0.7436,54.4,819,819,7,0.41,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0077,0.1628,0.0072,0.6705,3.2802
0.604,0.0,0.6923,54.4,819,819,7,0.57,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0159,0.2751,0.0117,0.6653,3.2728
0.753,0.0,0.641,54.4,819,819,7,0.72,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0209,0.3542,0.0168,0.8223,3.2683
0.844,0.0,1.0,53.0,819,819,7,0.81,0.0,0.0,0.0,0.0,0.0,0.0,42.0,25.2,2.0,1.6,2.0,1.6,41.0,24.6,-2.0,0.0265,0.4623,0.0141,0.7293,3.2633
1.002,0.0,0.9487,54.0,819,819,7,0.96,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,2.0,1.6,1.0,0.8,43.0,25.8,-2.0,0.0289,0.5285,0.01,0.6199,3.2611
1.181,0.0,0.8974,52.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,2.0,1.6,0.0,0.0,42.0,25.2,-2.0001,0.0309,0.6178,0.0025,0.5018,3.2594
1.285,0.0,0.7949,52.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,2.0,1.6,0.0,0.0,42.0,25.2,-1.9973,0.0349,0.6895,0.1127,0.5743,3.257
1.502,0.0,0.7436,55.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,26.4,3.0,2.4,1.0,0.8,43.0,25.8,-1.9843,0.0479,0.7602,0.2003,0.762,3.2512
1.599,0.0,0.6923,55.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,26.4,3.0,2.4,1.0,0.8,43.0,25.8,-1.9585,0.0749,0.8605,0.2817,0.6723,3.2389
1.689,0.2684,1.0,36.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.4,3.0,2.4,4.0,3.2,27.0,16.2,-1.9299,0.111,0.9628,0.29,0.6247,3.2204
1.899,0.3,1.0,35.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,3.0,2.4,4.0,3.2,26.0,15.6,-1.9057,0.1493,1.0668,0.282,0.6304,3.1982
1.997,0.3,0.9487,36.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,3.0,2.4,5.0,4.0,27.0,16.2,-1.8903,0.1852,1.1614,0.2767,0.7154,3.1744
2.096,0.3,1.0,33.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,2.0,1.6,4.0,3.2,26.0,15.6,-1.8818,0.2179,1.2448,0.2798,0.711,3.1502
2.364,0.3,0.8974,33.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,2.0,1.6,4.0,3.2,26.0,15.6,-1.8775,0.2575,1.3575,0.2839,0.9043,3.118
2.468,0.3,0.8462,34.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,2.0,1.6,4.0,3.2,27.0,16.2,-1.8779,0.299,1.4802,0.296,0.7961,3.0821
2.554,0.3,0.8974,33.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,1.0,0.8,3.0,2.4,25.0,15.0,-1.8802,0.3323,1.5784,0.2222,0.7117,3.0523
2.643,0.3,1.0,33.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,1.0,0.8,1.0,0.8,27.0,16.2,-1.8843,0.3602,1.6404,0.2629,0.4222,3.0263
2.901,0.3,0.7949,32.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,1.0,0.8,27.0,16.2,-1.8925,0.3946,1.6984,0.2891,0.4812,2.9927
