t_s,stamp,gt_x,gt_y,gt_yaw,goal_map_x,goal_map_y,n_valid,n_in_stop,n_in_slow,n_in_limit,d_min_base_m,r_min_lidar_m,monitor_action,monitor_polygon,v_nav,w_nav,v_smoothed,v_out,v_wheel
0.005,95.3,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.117,95.4,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.213,95.5,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.317,95.6,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.437,95.7,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.517,95.8,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.63,95.9,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.72,96.0,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.832,96.1,-2.0,0.0,-0.0,-0.019,-2.21,480,0,0,0,0.8217,0.9543,,,,,,,
0.932,96.2,-1.9992,-0.0002,-0.0059,-0.019,-2.21,480,0,0,0,0.8219,0.9544,,,0.0158,-1.0,0.0158,0.0158,0.0158
1.04,96.3,-1.9977,-0.0019,-0.0441,-0.019,-2.21,480,0,0,0,0.8198,0.9514,,,0.0158,-1.0,0.0158,0.0158,0.0158
1.14,96.4,-1.9961,-0.005,-0.1175,-0.019,-2.21,480,0,0,0,0.8176,0.947,,,0.0158,-1.0,0.0158,0.0158,0.0158
1.253,96.5,-1.9945,-0.0097,-0.2125,-0.019,-2.21,480,0,0,0,0.8126,0.938,,,0.0,-1.0,0.0,0.0,0.0
1.358,96.6,-1.9941,-0.0153,-0.3033,-0.019,-2.21,480,0,0,0,0.8083,0.9286,,,0.0,-1.0,0.0,0.0,0.0
1.458,96.7,-1.9941,-0.0205,-0.39,-0.019,-2.21,480,0,0,0,0.8052,0.9206,,,0.0474,-1.0,0.0474,0.0,0.0
