t_wall,t_sim,rtf,state,tag,amcl_x,amcl_y,amcl_yaw,amcl_cxx,amcl_cyy,amcl_caa,amcl_age,amcl_n,mo_x,mo_y,mo_yaw,mo_age,mo_step,odom_x,odom_y,odom_yaw,odom_vx,odom_wz,odom_age,lik_mean_d,lik_p90_d,lik_frac_near,lik_n,scan_age,hz_cmd_nav,hz_cmd_smoothed,hz_cmd_out,hz_cmd_wheels,wheel_vx,wheel_wz,hz_scan,hz_amcl,hz_odom,cm_action,cm_polygon,hz_cm,nav_status,plan_n,plan_len,goal_x,goal_y,gt_x,gt_y,gt_yaw,gt_age
0.208,0.000,nan,--,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,25.862,1,0.0006,-0.0000,-0.0000,-0.438,nan,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.012,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,1.00,1.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.002
0.308,0.098,0.981,--,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,25.960,1,0.0006,-0.0000,-0.0000,-0.440,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.010,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,9.62,1.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.020
0.409,0.196,0.978,--,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.058,1,0.0006,-0.0000,-0.0000,-0.442,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.008,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,10.10,1.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.018
0.509,0.296,0.986,--,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.158,1,0.0006,-0.0000,-0.0000,-0.442,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.012,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,9.93,1.00,50.53,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.018
0.608,0.388,0.970,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.250,1,0.0006,-0.0000,-0.0000,-0.450,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.000,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,10.10,1.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.010
0.709,0.488,0.975,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.350,1,0.0006,-0.0000,-0.0000,-0.450,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.000,0.0158,0.0500,1.0000,60,0.050,0.00,0.00,0.00,0.00,nan,nan,9.96,1.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.010
0.809,0.588,0.979,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.450,1,0.0006,-0.0000,-0.0000,-0.450,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.000,0.0158,0.0500,1.0000,60,0.050,0.00,0.00,0.00,0.00,nan,nan,9.80,1.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.010
0.909,0.690,0.985,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.552,1,0.0006,-0.0000,-0.0000,-0.448,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.006,0.0158,0.0500,1.0000,60,0.052,0.00,0.00,0.00,0.00,nan,nan,9.97,1.00,50.26,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.012
1.009,0.784,0.980,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.646,1,0.0006,-0.0000,-0.0000,-0.454,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.016,0.0158,0.0500,1.0000,60,0.046,0.00,0.00,0.00,0.00,nan,nan,9.90,1.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.006
1.109,0.880,0.978,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.742,1,0.0006,-0.0000,-0.0000,-0.458,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.012,0.0158,0.0500,1.0000,60,0.042,0.00,0.00,0.00,0.00,nan,nan,9.98,1.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.002
1.209,0.974,0.973,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.836,1,0.0006,-0.0000,-0.0000,-0.464,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.006,0.0158,0.0500,1.0000,60,0.036,0.00,0.00,0.00,0.00,nan,nan,10.04,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.016
1.309,1.074,0.976,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.936,1,0.0006,-0.0000,-0.0000,-0.464,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.006,0.0158,0.0500,1.0000,60,0.036,0.00,0.00,0.00,0.00,nan,nan,9.93,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.016
1.409,1.166,0.970,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.028,1,0.0006,-0.0000,-0.0000,-0.472,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.018,0.0158,0.0500,1.0000,60,0.028,0.00,0.00,0.00,0.00,nan,nan,10.02,0.00,50.10,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.008
1.508,1.266,0.970,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.128,1,0.0006,-0.0000,-0.0000,-0.472,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.018,0.0158,0.0500,1.0000,60,0.028,0.00,0.00,0.00,0.00,nan,nan,9.96,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.008
1.608,1.358,0.967,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.220,1,0.0006,-0.0000,-0.0000,-0.480,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.012,0.0158,0.0500,1.0000,60,0.020,0.00,0.00,0.00,0.00,nan,nan,10.02,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.020
1.709,1.458,0.966,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.320,1,0.0006,-0.0000,-0.0000,-0.480,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.010,0.0158,0.0500,1.0000,60,0.020,0.00,0.00,0.00,0.00,nan,nan,10.14,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.020
1.808,1.558,0.970,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.420,1,0.0006,-0.0000,-0.0000,-0.480,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.010,0.0158,0.0500,1.0000,60,0.020,0.00,0.00,0.00,0.00,nan,nan,10.02,0.00,49.90,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.020
1.909,1.658,0.968,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.520,1,0.0006,-0.0000,-0.0000,-0.480,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.010,0.0158,0.0500,1.0000,60,0.020,0.00,0.00,0.00,0.00,nan,nan,10.07,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.020
2.009,1.756,0.973,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.618,1,0.0006,-0.0000,-0.0000,-0.482,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.008,0.0158,0.0500,1.0000,60,0.018,0.00,0.00,0.00,0.00,nan,nan,10.00,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.018
2.109,1.856,0.976,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.718,1,0.0006,-0.0000,-0.0000,-0.482,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.008,0.0158,0.0500,1.0000,60,0.018,0.00,0.00,0.00,0.00,nan,nan,9.93,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.018
2.209,1.956,0.982,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.818,1,0.0006,-0.0000,-0.0000,-0.482,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.008,0.0158,0.0500,1.0000,60,0.018,0.00,0.00,0.00,0.00,nan,nan,10.04,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.018
2.309,2.054,0.980,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.916,1,0.0006,-0.0000,-0.0000,-0.484,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.006,0.0158,0.0500,1.0000,60,0.016,0.00,0.00,0.00,0.00,nan,nan,9.98,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.016
2.409,2.156,0.989,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,28.018,1,0.0006,-0.0000,-0.0000,-0.482,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.008,0.0158,0.0500,1.0000,60,0.018,0.00,0.00,0.00,0.00,nan,nan,10.00,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.018
2.509,2.254,0.995,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,28.116,1,0.0006,-0.0000,-0.0000,-0.484,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.006,0.0158,0.0500,1.0000,60,0.016,0.00,0.00,0.00,0.00,nan,nan,9.93,0.00,49.90,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.016
2.609,2.356,0.998,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,28.218,1,0.0006,-0.0000,-0.0000,-0.482,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.008,0.0158,0.0500,1.0000,60,0.018,0.00,0.00,0.00,0.00,nan,nan,10.00,0.00,50.10,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.018
2.709,2.456,0.997,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,28.318,1,0.0006,-0.0000,-0.0000,-0.482,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.008,0.0158,0.0500,1.0000,60,0.018,0.00,0.00,0.00,0.00,nan,nan,9.96,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.018
2.809,2.556,0.998,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,28.418,1,0.0006,-0.0000,-0.0000,-0.482,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.008,0.0158,0.0500,1.0000,60,0.018,0.00,0.00,0.00,0.00,nan,nan,10.02,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.018
2.909,2.656,0.998,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,28.518,1,0.0006,-0.0000,-0.0000,-0.482,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.008,0.0158,0.0500,1.0000,60,0.018,0.00,0.00,0.00,0.00,nan,nan,9.96,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.018
3.009,2.756,1.000,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,28.618,1,0.0006,-0.0000,-0.0000,-0.482,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.008,0.0158,0.0500,1.0000,60,0.018,0.00,0.00,0.00,0.00,nan,nan,10.04,0.00,49.90,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.018
3.108,2.856,1.000,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,28.718,1,0.0006,-0.0000,-0.0000,-0.482,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.008,0.0158,0.0500,1.0000,60,0.018,0.00,0.00,0.00,0.00,nan,nan,9.96,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.018
3.209,2.956,1.000,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,28.818,1,0.0006,-0.0000,-0.0000,-0.482,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.008,0.0158,0.0500,1.0000,60,0.018,0.00,0.00,0.00,0.00,nan,nan,10.00,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.018
3.309,3.054,1.000,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,28.916,1,0.0006,-0.0000,-0.0000,-0.484,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.006,0.0158,0.0500,1.0000,60,0.016,0.00,0.00,0.00,0.00,nan,nan,9.98,0.00,49.90,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.016
3.408,3.156,1.000,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,29.018,1,0.0006,-0.0000,-0.0000,-0.482,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.008,0.0158,0.0500,1.0000,60,0.018,0.00,0.00,0.00,0.00,nan,nan,10.02,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.018
3.509,3.256,1.000,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,29.118,1,0.0006,-0.0000,-0.0000,-0.482,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.008,0.0158,0.0500,1.0000,60,0.018,0.00,0.00,0.00,0.00,nan,nan,10.00,0.00,49.80,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.018
3.608,3.356,1.001,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,29.218,1,0.0006,-0.0000,-0.0000,-0.482,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.008,0.0158,0.0500,1.0000,60,0.018,0.00,0.00,0.00,0.00,nan,nan,10.00,0.00,49.90,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.018
3.709,3.452,0.997,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,29.314,1,0.0006,-0.0000,-0.0000,-0.486,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.004,0.0158,0.0500,1.0000,60,0.014,0.00,0.00,0.00,0.00,nan,nan,10.00,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.014
3.809,3.554,0.998,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,29.416,1,0.0006,-0.0000,-0.0000,-0.484,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.006,0.0158,0.0500,1.0000,60,0.016,0.00,0.00,0.00,0.00,nan,nan,10.04,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.016
3.909,3.648,0.991,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,29.510,1,0.0006,-0.0000,-0.0000,-0.390,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.000,0.0158,0.0500,1.0000,60,0.010,0.00,0.00,0.00,0.00,nan,nan,10.10,0.00,50.10,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.010
4.008,3.750,0.994,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,29.612,1,0.0006,-0.0000,-0.0000,-0.488,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.002,0.0158,0.0500,1.0000,60,0.012,0.00,0.00,0.00,0.00,nan,nan,10.07,0.00,50.10,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.012
4.109,3.850,0.993,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,29.712,1,0.0006,-0.0000,-0.0000,-0.388,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.002,0.0158,0.0500,1.0000,60,0.112,0.00,0.00,0.00,0.00,nan,nan,10.05,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.012
4.209,3.942,0.986,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,29.804,1,0.0006,-0.0000,-0.0000,-0.396,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.020,0.0158,0.0500,1.0000,60,0.104,0.00,0.00,0.00,0.00,nan,nan,9.87,0.00,50.31,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.004
4.309,4.040,0.982,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,29.902,1,0.0006,-0.0000,-0.0000,-0.398,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.012,0.0158,0.0500,1.0000,60,0.102,0.00,0.00,0.00,0.00,nan,nan,10.00,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.002
4.409,4.142,0.985,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,30.004,1,0.0006,-0.0000,-0.0000,-0.396,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.014,0.0158,0.0500,1.0000,60,0.104,0.00,0.00,0.00,0.00,nan,nan,9.89,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.004
4.509,4.238,0.982,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,30.100,1,0.0006,-0.0000,-0.0000,-0.400,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.012,0.0158,0.0500,1.0000,60,0.100,0.00,0.00,0.00,0.00,nan,nan,9.96,0.00,49.90,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.000
4.609,4.328,0.973,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,30.190,1,0.0006,-0.0000,-0.0000,-0.410,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.000,0.0158,0.0500,1.0000,60,0.090,0.00,0.00,0.00,0.00,nan,nan,10.00,0.00,50.10,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.010
4.710,4.390,0.928,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,30.252,1,0.0006,-0.0000,-0.0000,-0.448,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.002,0.0158,0.0500,1.0000,60,0.052,0.00,0.00,0.00,0.00,nan,nan,10.02,0.00,49.90,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.012
4.809,4.482,0.926,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,30.344,1,0.0006,-0.0000,-0.0000,-0.456,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.014,0.0158,0.0500,1.0000,60,0.044,0.00,0.00,0.00,0.00,nan,nan,10.02,0.00,49.90,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.004
4.909,4.578,0.919,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,30.440,1,0.0006,-0.0000,-0.0000,-0.460,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.010,0.0158,0.0500,1.0000,60,0.040,0.00,0.00,0.00,0.00,nan,nan,9.96,0.00,49.80,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.020
5.009,4.672,0.913,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,30.534,1,0.0006,-0.0000,-0.0000,-0.466,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.004,0.0158,0.0500,1.0000,60,0.034,0.00,0.00,0.00,0.00,nan,nan,9.93,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.014
5.109,4.766,0.916,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,30.628,1,0.0006,-0.0000,-0.0000,-0.472,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.018,0.0158,0.0500,1.0000,60,0.028,0.00,0.00,0.00,0.00,nan,nan,10.11,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.008
5.209,4.856,0.906,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,30.718,1,0.0006,-0.0000,-0.0000,-0.482,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.008,0.0158,0.0500,1.0000,60,0.018,0.00,0.00,0.00,0.00,nan,nan,10.14,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.018
5.309,4.958,0.906,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,30.820,1,0.0006,-0.0000,-0.0000,-0.480,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.010,0.0158,0.0500,1.0000,60,0.020,0.00,0.00,0.00,0.00,nan,nan,10.11,0.00,49.90,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.020
5.409,5.054,0.912,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,30.916,1,0.0006,-0.0000,-0.0000,-0.484,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.008,0.0158,0.0500,1.0000,60,0.016,0.00,0.00,0.00,0.00,nan,nan,10.14,0.00,49.90,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.016
5.509,5.154,0.918,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,31.016,1,0.0006,-0.0000,-0.0000,-0.484,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.006,0.0158,0.0500,1.0000,60,0.016,0.00,0.00,0.00,0.00,nan,nan,10.02,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.016
5.609,5.254,0.926,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,31.116,1,0.0006,-0.0000,-0.0000,-0.484,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.006,0.0158,0.0500,1.0000,60,0.016,0.00,0.00,0.00,0.00,nan,nan,9.96,0.00,49.90,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.016
5.708,5.354,0.965,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,31.216,1,0.0006,-0.0000,-0.0000,-0.484,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.006,0.0158,0.0500,1.0000,60,0.016,0.00,0.00,0.00,0.00,nan,nan,9.96,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.016
5.809,5.454,0.972,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,31.316,1,0.0006,-0.0000,-0.0000,-0.484,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.006,0.0158,0.0500,1.0000,60,0.016,0.00,0.00,0.00,0.00,nan,nan,9.93,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.016
5.909,5.554,0.976,IDLE,diverged1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,31.416,1,0.0006,-0.0000,-0.0000,-0.484,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.006,0.0158,0.0500,1.0000,60,0.016,0.00,0.00,0.00,0.00,nan,nan,10.02,0.00,50.10,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.016
