t,best_vx,best_wz,best_total,n_traj,n_legal,n_crit_best,zero_for,RotateToGoal_raw,RotateToGoal,Oscillation_raw,Oscillation,BaseObstacle_raw,BaseObstacle,GoalAlign_raw,GoalAlign,PathAlign_raw,PathAlign,PathDist_raw,PathDist,GoalDist_raw,GoalDist,gt_x,gt_y,gt_yaw,gt_vx,gt_wz,dist_goal
0.175,0.0,0.7949,53.0,819,819,7,0.11,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,1.0,0.8,40.0,24.0,-2.0,0.0,-0.0,0.0,0.0,3.2871
0.383,0.0,0.7436,54.4,819,819,7,0.31,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.003,0.0789,0.0021,0.6518,3.2844
0.504,0.0,0.7436,54.4,819,819,7,0.44,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0096,0.1936,0.0093,0.6522,3.2784
0.719,0.0,0.641,54.4,819,819,7,0.65,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.014,0.2525,0.0096,0.548,3.2745
0.985,0.0,0.5897,54.4,819,819,7,0.92,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0001,0.0219,0.3773,0.0158,0.7672,3.2674
1.074,0.0,1.0,54.2,819,819,7,1.01,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,2.0,1.6,2.0,1.6,42.0,25.2,-2.0001,0.0262,0.4653,0.0132,0.6862,3.2635
1.302,0.0,0.8974,54.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,2.0,1.6,1.0,0.8,43.0,25.8,-2.0001,0.0304,0.609,0.0024,0.5019,3.2598
1.496,0.0,0.8462,52.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,2.0,1.6,0.0,0.0,42.0,25.2,-1.9856,0.0479,0.7225,0.2561,0.6154,3.2506
1.593,0.0,0.7949,54.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,1.0,0.8,42.0,25.2,-1.9525,0.0811,0.8679,0.2914,0.7261,3.2362
1.778,0.0,0.6923,54.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,1.0,0.8,42.0,25.2,-1.9304,0.1089,0.9512,0.2917,0.6676,3.222
1.872,0.2368,1.0,37.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,3.0,2.4,4.0,3.2,28.0,16.8,-1.9093,0.1409,1.0444,0.2818,0.6458,3.2039
1.98,0.2842,0.9487,36.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,4.0,3.2,4.0,3.2,27.0,16.2,-1.8968,0.1659,1.1112,0.2781,0.6843,3.1881
2.246,0.1895,1.0,35.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,2.0,1.6,3.0,2.4,28.0,16.8,-1.8805,0.2235,1.2757,0.2777,0.7932,3.146
2.339,0.3,1.0,34.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,3.0,2.4,4.0,3.2,26.0,15.6,-1.8773,0.2601,1.4001,0.2472,0.9539,3.1159
2.435,0.3,1.0,33.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,2.0,1.6,4.0,3.2,26.0,15.6,-1.8789,0.301,1.5156,0.2974,0.7276,3.0799
2.702,0.2842,1.0,32.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,2.0,1.6,3.0,2.4,25.0,15.0,-1.8816,0.3286,1.5821,0.2168,0.5306,3.0548
