t_wall,t_sim,rtf,state,tag,amcl_x,amcl_y,amcl_yaw,amcl_cxx,amcl_cyy,amcl_caa,amcl_age,amcl_n,mo_x,mo_y,mo_yaw,mo_age,mo_step,odom_x,odom_y,odom_yaw,odom_vx,odom_wz,odom_age,lik_mean_d,lik_p90_d,lik_frac_near,lik_n,scan_age,hz_cmd_nav,hz_cmd_smoothed,hz_cmd_out,hz_cmd_wheels,wheel_vx,wheel_wz,hz_scan,hz_amcl,hz_odom,cm_action,cm_polygon,hz_cm,nav_status,plan_n,plan_len,goal_x,goal_y,gt_x,gt_y,gt_yaw,gt_age
0.244,0.000,nan,--,healthy2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.226,1,0.0006,-0.0000,-0.0000,-0.474,nan,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.016,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,1.00,1.00,60.98,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.006
0.344,0.094,0.936,IDLE,healthy2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.320,1,0.0006,-0.0000,-0.0000,-0.480,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.010,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,10.64,1.00,53.76,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.020
0.444,0.192,0.958,IDLE,healthy2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.418,1,0.0006,-0.0000,-0.0000,-0.482,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.008,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,9.80,1.00,53.19,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.018
0.544,0.288,0.959,IDLE,healthy2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.514,1,0.0006,-0.0000,-0.0000,-0.386,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.004,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,9.80,1.00,52.08,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.014
0.644,0.392,0.980,IDLE,healthy2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.618,1,0.0006,-0.0000,-0.0000,-0.482,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.008,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,10.00,1.00,51.87,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.018
0.744,0.488,0.976,IDLE,healthy2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.714,1,0.0006,-0.0000,-0.0000,-0.386,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.004,0.0158,0.0500,1.0000,60,0.114,0.00,0.00,0.00,0.00,nan,nan,10.00,1.00,51.55,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.014
0.844,0.586,0.977,IDLE,healthy2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.812,1,0.0006,-0.0000,-0.0000,-0.488,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.002,0.0158,0.0500,1.0000,60,0.012,0.00,0.00,0.00,0.00,nan,nan,9.97,1.00,51.17,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.012
0.944,0.678,0.968,IDLE,healthy2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.904,1,0.0006,-0.0000,-0.0000,-0.396,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.014,0.0158,0.0500,1.0000,60,0.104,0.00,0.00,0.00,0.00,nan,nan,9.97,1.00,51.18,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.004
1.044,0.774,0.967,IDLE,healthy2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.000,1,0.0006,-0.0000,-0.0000,-0.400,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.010,0.0158,0.0500,1.0000,60,0.100,0.00,0.00,0.00,0.00,nan,nan,10.06,1.00,51.04,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.020
1.144,0.874,0.970,IDLE,healthy2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.100,1,0.0006,-0.0000,-0.0000,-0.400,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.012,0.0158,0.0500,1.0000,60,0.100,0.00,0.00,0.00,0.00,nan,nan,9.95,1.00,50.94,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.020
