t_s,stamp,gt_x,gt_y,gt_yaw,goal_map_x,goal_map_y,n_valid,n_in_stop,n_in_slow,n_in_limit,d_min_base_m,r_min_lidar_m,monitor_action,monitor_polygon,v_nav,w_nav,v_smoothed,v_out,v_wheel
0.065,98.3,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.165,98.4,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.264,98.5,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.366,98.6,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.465,98.7,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.563,98.8,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.665,98.9,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.776,99.0,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.865,99.1,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.977,99.2,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.061,99.3,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.184,99.4,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.282,99.5,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.384,99.6,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.484,99.7,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.585,99.8,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.683,99.9,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.781,100.0,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.883,100.1,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.985,100.2,-2.0,0.0,-0.0,-0.019,-2.21,480,0,0,0,0.8217,0.9543,,,0.0158,-1.0,0.0158,,
2.081,100.3,-1.9988,-0.0006,-0.0147,-0.019,-2.21,480,0,0,0,0.8199,0.9522,,,0.0158,-1.0,0.0158,0.0158,0.0158
2.186,100.4,-1.9972,-0.0026,-0.0627,-0.019,-2.21,480,0,0,0,0.8178,0.9488,,,0.0158,-1.0,0.0158,0.0158,0.0158
2.284,100.5,-1.9956,-0.0063,-0.1408,-0.019,-2.21,480,0,0,0,0.8152,0.9436,,,0.0158,-1.0,0.0158,0.0158,0.0158
2.381,100.6,-1.9941,-0.0113,-0.235,-0.019,-2.21,480,0,0,0,0.8129,0.9374,,,0.0,-1.0,0.0,0.0,0.0
2.482,100.7,-1.9939,-0.0171,-0.3246,-0.019,-2.21,480,0,0,0,0.807,0.9261,,,0.0474,-1.0,0.0474,0.0,0.0
2.58,100.8,-1.9921,-0.0226,-0.4045,-0.019,-2.21,480,0,0,0,0.8017,0.9158,,,0.0,-0.9487,0.0,0.0474,0.0474
2.681,100.9,-1.9898,-0.0256,-0.4765,-0.019,-2.21,480,0,0,0,0.7973,0.9064,,,0.0,-0.9487,0.0,0.0,0.0
2.78,101.0,-1.9878,-0.025,-0.5392,-0.019,-2.21,480,0,0,0,0.797,0.9015,,,0.1263,-1.0,0.125,0.0,0.0
