t_s,stamp,gt_x,gt_y,gt_yaw,goal_map_x,goal_map_y,n_valid,n_in_stop,n_in_slow,n_in_limit,d_min_base_m,r_min_lidar_m,monitor_action,monitor_polygon,v_nav,w_nav,v_smoothed,v_out,v_wheel
0.082,93.1,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.193,93.2,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.292,93.3,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.407,93.4,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.51,93.5,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.615,93.6,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.719,93.7,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.822,93.8,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.924,93.9,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.02,94.0,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.119,94.1,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.222,94.2,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.317,94.3,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.418,94.4,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.518,94.5,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.619,94.6,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.729,94.7,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.831,94.8,-2.0,0.0,-0.0,-1.469,2.94,480,0,0,0,0.8217,0.9543,,,0.0,0.7949,,,
