t_s,stamp,gt_x,gt_y,gt_yaw,goal_map_x,goal_map_y,n_valid,n_in_stop,n_in_slow,n_in_limit,d_min_base_m,r_min_lidar_m,monitor_action,monitor_polygon,v_nav,w_nav,v_smoothed,v_out,v_wheel
0.059,130.0,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.162,130.1,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.262,130.2,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.364,130.3,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.468,130.4,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.572,130.5,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.674,130.6,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.802,130.7,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.914,130.8,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.016,130.9,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.113,131.0,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.214,131.1,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.312,131.2,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.434,131.3,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.56,131.4,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.658,131.5,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.753,131.6,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.852,131.7,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.973,131.8,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
2.08,131.9,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
2.218,132.0,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
2.312,132.1,-2.0,0.0,-0.0,-1.569,2.94,480,0,0,0,0.8217,0.9543,,,0.0,0.7949,0.0,,
2.438,132.2,-2.0,0.0005,0.0146,-1.569,2.94,480,0,0,0,0.8242,0.9572,,,0.0,0.7949,0.0,0.0,0.0
2.521,132.3,-2.0,0.0019,0.0506,-1.569,2.94,480,0,0,0,0.8238,0.9574,,,0.0,0.7436,0.0,0.0,0.0
2.621,132.4,-2.0,0.005,0.1207,-1.569,2.94,480,0,0,0,0.8247,0.9591,,,0.0,0.7436,0.0,0.0,0.0
2.724,132.5,-2.0,0.0096,0.1927,-1.569,2.94,480,0,0,0,0.8268,0.9613,,,0.0,0.6923,0.0,0.0,0.0
2.824,132.6,-2.0,0.0144,0.2577,-1.569,2.94,480,0,0,0,0.8291,0.9632,,,0.0,0.5897,0.0,0.0,0.0
2.932,132.7,-2.0,0.0181,0.3124,-1.569,2.94,480,0,0,0,0.832,0.9653,,,0.0,1.0,0.0,0.0,0.0
3.056,132.8,-2.0001,0.0218,0.3756,-1.569,2.94,480,0,0,0,0.8358,0.9678,,,0.0,0.9487,0.0,0.0,0.0
3.166,132.9,-2.0001,0.0258,0.4538,-1.569,2.94,480,0,0,0,0.8379,0.9676,,,0.0,0.8974,0.0,0.0,0.0
3.281,133.0,-2.0001,0.0284,0.5243,-1.569,2.94,480,0,0,0,0.8415,0.9682,,,0.0,0.7436,0.0,0.0,0.0
3.4,133.1,-2.0001,0.03,0.5831,-1.569,2.94,480,0,0,0,0.8393,0.9631,,,0.0,0.6923,0.0,0.0,0.0
3.495,133.2,-2.0003,0.0306,0.6346,-1.569,2.94,480,0,0,0,0.8415,0.9627,,,0.0,0.641,0.0,0.0,0.0
3.62,133.3,-2.0006,0.0306,0.6802,-1.569,2.94,480,0,0,0,0.8403,0.9593,,,0.0,1.0,0.0,0.0,0.0
3.736,133.4,-2.0009,0.0306,0.7338,-1.569,2.94,480,0,0,0,0.8425,0.9577,,,0.0,1.0,0.0,0.0,0.0
3.835,133.5,-2.0013,0.0306,0.81,-1.569,2.94,480,0,0,0,0.8436,0.9534,,,0.0,0.8974,0.0,0.0,0.0
3.928,133.6,-2.0013,0.0303,0.8781,-1.569,2.94,480,0,0,0,0.8416,0.9468,,,0.0,0.8462,0.0,0.0,0.0
4.032,133.7,-2.0013,0.0304,0.9373,-1.569,2.94,480,0,0,0,0.84,0.9404,,,0.0,0.7436,0.0,0.0,0.0
4.146,133.8,-2.0013,0.0307,0.9888,-1.569,2.94,480,0,0,0,0.8413,0.9365,,,0.2842,1.0,0.125,0.125,0.125
4.241,133.9,-1.9973,0.0392,1.0579,-1.569,2.94,480,0,0,0,0.8435,0.9316,,,0.3,1.0,0.3,0.3,0.3
4.358,134.0,-1.9899,0.0634,1.1367,-1.569,2.94,480,0,0,0,0.854,0.9314,,,0.2684,1.0,0.2684,0.2684,0.2684
4.46,134.1,-1.9818,0.0879,1.216,-1.569,2.94,480,0,0,0,0.8629,0.9288,,,0.2842,0.8462,0.2842,0.2842,0.2842
4.569,134.2,-1.9772,0.1144,1.2877,-1.569,2.94,480,0,0,0,0.8787,0.9328,,,0.3,0.641,0.2842,0.2842,0.2842
4.673,134.3,-1.975,0.1421,1.3639,-1.569,2.94,480,0,0,0,0.8975,0.9392,,,0.3,0.641,0.3,0.3,0.3
4.771,134.4,-1.9744,0.1716,1.4247,-1.569,2.94,480,0,0,0,0.8877,0.9649,,,0.3,0.641,0.3,0.3,0.3
4.88,134.5,-1.9752,0.2014,1.4845,-1.569,2.94,480,0,0,0,0.8675,1.0013,,,0.3,0.4872,0.3,0.3,0.3
4.997,134.6,-1.9775,0.2314,1.5449,-1.569,2.94,480,0,0,0,0.8516,0.986,,,0.2842,0.3846,0.3,0.3,0.3
5.087,134.7,-1.9811,0.2606,1.5918,-1.569,2.94,480,0,0,0,0.8313,0.9657,,,0.3,0.3846,0.2842,0.2842,0.2842
5.201,134.8,-1.9858,0.29,1.6315,-1.569,2.94,480,0,0,0,0.8162,0.9499,,,0.3,0.3846,0.3,0.3,0.3
5.304,134.9,-1.9915,0.3199,1.6705,-1.569,2.94,480,0,0,0,0.8048,0.9372,,,0.3,0.2821,0.3,0.3,0.3
5.413,135.0,-1.9977,0.3497,1.7026,-1.569,2.94,480,0,0,0,0.7905,0.9213,,,0.2684,0.0769,0.2684,0.3,0.3
5.515,135.1,-2.003,0.3771,1.7195,-1.569,2.94,480,0,0,0,0.7793,0.9086,,,0.3,0.1282,0.3,0.2684,0.2684
5.615,135.2,-2.0082,0.4059,1.7288,-1.569,2.94,480,0,0,0,0.768,0.8958,,,0.2842,0.0769,0.2842,0.3,0.3
5.727,135.3,-2.0134,0.4341,1.7368,-1.569,2.94,480,0,0,0,0.7587,0.8843,,,0.3,0.0,0.3,0.3,0.3
5.834,135.4,-2.0185,0.4635,1.7378,-1.569,2.94,480,0,0,0,0.7507,0.8748,,,0.2684,0.0256,0.2684,0.2684,0.2684
5.949,135.5,-2.0232,0.4905,1.7399,-1.569,2.94,480,0,0,0,0.7418,0.8639,,,0.3,0.0769,0.3,0.3,0.3
6.048,135.6,-2.0287,0.5197,1.7456,-1.569,2.94,480,0,0,0,0.7361,0.8559,,,0.3,0.0256,0.3,0.3,0.3
6.174,135.7,-2.0341,0.5492,1.7476,-1.569,2.94,480,0,0,0,0.73,0.8475,,,0.2842,-0.0256,0.3,0.3,0.3
6.273,135.8,-2.0392,0.5781,1.7467,-1.569,2.94,480,0,0,0,0.7241,0.8389,,,0.3,0.0769,0.2842,0.2842,0.2842
6.387,135.9,-2.0443,0.6066,1.7472,-1.569,2.94,480,0,0,0,0.7222,0.8343,,,0.2842,0.0769,0.3,0.3,0.3
6.481,136.0,-2.0501,0.6356,1.7544,-1.569,2.94,480,0,0,0,0.7195,0.8279,,,0.3,-0.0256,0.3,0.3,0.3
6.602,136.1,-2.0554,0.665,1.7526,-1.569,2.94,480,0,0,0,0.7187,0.8249,,,0.3,-0.0256,0.3,0.3,0.3
6.704,136.2,-2.0606,0.6945,1.7502,-1.569,2.94,480,0,0,0,0.7186,0.8208,,,0.3,-0.0769,0.3,0.3,0.3
6.823,136.3,-2.0655,0.7241,1.7445,-1.569,2.94,480,0,0,0,0.7193,0.819,,,0.3,-0.0769,0.3,0.3,0.3
6.921,136.4,-2.07,0.7536,1.7371,-1.569,2.94,480,0,0,0,0.7219,0.819,,,0.3,-0.0256,0.3,0.3,0.3
7.021,136.5,-2.0746,0.7832,1.734,-1.569,2.94,480,0,0,0,0.7255,0.8191,,,0.3,-0.0256,0.3,0.3,0.3
7.116,136.6,-2.0793,0.8128,1.7316,-1.569,2.94,480,0,0,0,0.729,0.8193,,,0.2842,-0.0769,0.2842,0.3,0.3
7.227,136.7,-2.0834,0.8411,1.7251,-1.569,2.94,480,0,0,0,0.7331,0.821,,,0.3,-0.0769,0.3,0.3,0.3
7.326,136.8,-2.0872,0.8706,1.7178,-1.569,2.94,480,0,0,0,0.7369,0.8237,,,0.2842,-0.0769,0.2842,0.3,0.3
7.429,136.9,-2.0908,0.8989,1.7106,-1.569,2.94,480,0,0,0,0.7405,0.8273,,,0.3,-0.0256,0.3,0.2842,0.2842
7.528,137.0,-2.0946,0.9285,1.7075,-1.569,2.94,480,0,0,0,0.7443,0.8315,,,0.2842,-0.0256,0.2842,0.3,0.3
7.627,137.1,-2.0983,0.9568,1.705,-1.569,2.94,480,0,0,0,0.748,0.8354,,,0.3,-0.0769,0.3,0.2842,0.2842
7.725,137.2,-2.1017,0.9861,1.699,-1.569,2.94,480,0,0,0,0.7515,0.8394,,,0.3,-0.1282,0.3,0.3,0.3
7.823,137.3,-2.1044,1.0159,1.687,-1.569,2.94,480,0,0,0,0.7544,0.8433,,,0.2842,-0.0769,0.2842,0.3,0.3
7.924,137.4,-2.107,1.0443,1.6788,-1.569,2.94,480,0,0,0,0.7571,0.8467,,,0.3,-0.0769,0.3,0.2842,0.2842
8.023,137.5,-2.1094,1.074,1.6713,-1.569,2.94,480,0,0,0,0.7595,0.8499,,,0.2842,-0.0769,0.2842,0.3,0.3
8.13,137.6,-2.1116,1.1025,1.6639,-1.569,2.94,480,0,0,0,0.7616,0.8528,,,0.3,-0.0769,0.3,0.2842,0.2842
8.248,137.7,-2.1136,1.1322,1.6563,-1.569,2.94,480,0,0,0,0.7635,0.8556,,,0.2842,-0.0769,0.2842,0.2842,0.2842
8.34,137.8,-2.1154,1.1607,1.6491,-1.569,2.94,480,0,0,0,0.7652,0.858,,,0.3,-0.0256,0.3,0.3,0.3
8.448,137.9,-2.1175,1.1906,1.6465,-1.569,2.94,480,0,0,0,0.7673,0.8604,,,0.2842,-0.0256,0.2842,0.2842,0.2842
8.561,138.0,-2.1193,1.2194,1.643,-1.569,2.94,480,0,0,0,0.7691,0.8626,,,0.3,-0.0769,0.3,0.3,0.3
8.678,138.1,-2.1207,1.2485,1.6354,-1.569,2.94,480,0,0,0,0.7704,0.8647,,,0.3,-0.0256,0.2842,0.2842,0.2842
8.778,138.2,-2.122,1.2777,1.6299,-1.569,2.94,480,0,0,0,0.7717,0.8665,,,0.2842,-0.0256,0.3,0.3,0.3
8.882,138.3,-2.1235,1.3068,1.6273,-1.569,2.94,480,0,0,0,0.7733,0.8682,,,0.3,-0.0256,0.2842,0.2842,0.2842
8.979,138.4,-2.1249,1.3359,1.6248,-1.569,2.94,480,0,0,0,0.776,0.8699,,,0.2842,-0.0256,0.3,0.3,0.3
9.083,138.5,-2.1262,1.3651,1.6223,-1.569,2.94,480,0,0,0,0.7788,0.8714,,,0.3,-0.0769,0.2842,0.2842,0.2842
9.19,138.6,-2.1273,1.3941,1.6181,-1.569,2.94,480,0,0,0,0.7835,0.8729,,,0.3,-0.0256,0.3,0.3,0.3
9.281,138.7,-2.1281,1.424,1.6121,-1.569,2.94,480,0,0,0,0.7896,0.8753,,,0.2842,-0.0256,0.3,0.3,0.3
9.406,138.8,-2.129,1.4534,1.6095,-1.569,2.94,480,0,0,0,0.795,0.8779,,,0.3,-0.0769,0.2842,0.2842,0.2842
9.483,138.9,-2.1297,1.4823,1.6054,-1.569,2.94,480,0,0,0,0.8012,0.8811,,,0.2842,0.0,0.3,0.3,0.3
9.594,139.0,-2.1303,1.5115,1.6011,-1.569,2.94,480,0,0,0,0.8087,0.8857,,,0.3,-0.0256,0.2842,0.2842,0.2842
9.69,139.1,-2.131,1.5409,1.5996,-1.569,2.94,480,0,0,0,0.818,0.8746,,,0.2842,-0.0256,0.3,0.3,0.3
9.8,139.2,-2.1316,1.57,1.597,-1.569,2.94,480,0,0,0,0.8273,0.8528,,,0.3,0.0,0.3,0.3,0.3
9.894,139.3,-2.1324,1.6,1.597,-1.569,2.94,480,0,0,0,0.8298,0.8299,,,0.2842,0.0,0.3,0.3,0.3
10.007,139.4,-2.1332,1.6289,1.597,-1.569,2.94,480,0,0,0,0.8104,0.8066,,,0.3,-0.0256,0.3,0.2842,0.2842
10.106,139.5,-2.1337,1.6585,1.595,-1.569,2.94,480,0,0,0,0.7893,0.7817,,,0.3,-0.0769,0.3,0.3,0.3
10.211,139.6,-2.1339,1.6885,1.5887,-1.569,2.94,480,0,0,0,0.7729,0.7606,,,0.2842,-0.0256,0.2842,0.3,0.3
10.303,139.7,-2.134,1.7173,1.5849,-1.569,2.94,480,0,0,0,0.7538,0.7373,,,0.3,-0.0256,0.2842,0.2842,0.2842
10.405,139.8,-2.1341,1.7466,1.5824,-1.569,2.94,480,0,0,0,0.7388,0.7178,,,0.2842,0.0256,0.3,0.3,0.3
10.502,139.9,-2.1345,1.7757,1.5827,-1.569,2.94,480,0,0,0,0.7226,0.6975,,,0.3,-0.0256,0.2842,0.2842,0.2842
10.603,140.0,-2.1349,1.8049,1.5828,-1.569,2.94,480,0,0,0,0.7064,0.6776,,,0.2842,-0.0256,0.3,0.3,0.3
10.706,140.1,-2.135,1.834,1.5802,-1.569,2.94,480,0,0,0,0.6935,0.6588,,,0.3,0.0,0.3,0.2842,0.2842
10.804,140.2,-2.1351,1.8633,1.5791,-1.569,2.94,480,0,0,0,0.6789,0.6394,,,0.2842,0.0,0.3,0.3,0.3
10.902,140.3,-2.1353,1.8924,1.5791,-1.569,2.94,480,0,0,0,0.6672,0.6231,,,0.2842,-0.0256,0.2842,0.2842,0.2842
11.004,140.4,-2.1354,1.9208,1.5775,-1.569,2.94,480,0,0,0,0.6568,0.6073,,,0.3,0.0,0.2842,0.2842,0.2842
11.115,140.5,-2.1355,1.9502,1.5764,-1.569,2.94,480,0,0,0,0.6481,0.594,,,0.3,0.0769,0.3,0.3,0.3
11.213,140.6,-2.1361,1.9802,1.5814,-1.569,2.94,480,0,0,0,0.6372,0.5778,,,0.2842,0.0769,0.2842,0.2842,0.2842
11.313,140.7,-2.1372,2.0089,1.5894,-1.569,2.94,480,0,0,0,0.6295,0.5659,,,0.2842,0.0,0.2842,0.2842,0.2842
11.414,140.8,-2.138,2.0373,1.5924,-1.569,2.94,480,0,0,0,0.6223,0.5536,,,0.2684,0.0,0.2684,0.2684,0.2684
11.507,140.9,-2.1386,2.0643,1.5924,-1.569,2.94,480,0,0,0,0.6182,0.5446,,,0.3,0.0769,0.3,0.2684,0.2684
11.608,141.0,-2.1397,2.0932,1.597,-1.569,2.94,480,0,0,0,0.6129,0.5346,,,0.3,0.0769,0.3,0.3,0.3
11.714,141.1,-2.1413,2.1231,1.605,-1.569,2.94,480,0,0,0,0.6093,0.5265,,,0.2842,0.1282,0.2842,0.2842,0.2842
11.812,141.2,-2.1433,2.1518,1.6172,-1.569,2.94,480,0,0,0,0.6063,0.5193,,,0.2684,0.1282,0.2684,0.2684,0.2684
11.91,141.3,-2.1459,2.1788,1.6303,-1.569,2.94,480,0,0,0,0.6038,0.5145,,,0.2526,0.1282,0.2526,0.2526,0.2526
12.012,141.4,-2.1487,2.2042,1.6432,-1.569,2.94,480,0,0,0,0.6011,0.51,,,0.2684,0.0769,0.2684,0.2684,0.2684
12.11,141.5,-2.1514,2.2307,1.6516,-1.569,2.94,480,0,0,0,0.5983,0.5066,,,0.2526,0.0769,0.2526,0.2526,0.2526
12.211,141.6,-2.1542,2.2561,1.6592,-1.569,2.94,480,0,0,0,0.5955,0.5041,,,0.1737,0.0,0.1737,0.1737,0.1737
12.312,141.7,-2.156,2.2754,1.6603,-1.569,2.94,480,0,0,0,0.5937,0.5024,,,0.1895,-0.0256,0.1895,0.1737,0.1737
12.417,141.8,-2.1575,2.2941,1.6581,-1.569,2.94,480,0,0,0,0.5922,0.5007,,,0.1579,-0.0769,0.1579,0.1895,0.1895
12.526,141.9,-2.1585,2.3104,1.6519,-1.569,2.94,480,0,0,0,0.5912,0.4991,,,0.1579,-0.0256,0.1579,0.1579,0.1579
12.613,142.0,-2.1595,2.3257,1.6486,-1.569,2.94,480,0,0,0,0.5902,0.4979,,,0.1421,-0.0256,0.1421,0.1421,0.1421
12.725,142.1,-2.1603,2.3399,1.646,-1.569,2.94,480,0,0,0,0.5894,0.4967,,,0.1421,-0.0256,0.1421,0.1421,0.1421
12.814,142.2,-2.1611,2.354,1.6434,-1.569,2.94,480,0,0,0,0.5886,0.4957,,,0.1263,-0.0256,0.1263,0.1421,0.1421
